species,clip,k,arm,f0_annotated,strict_cents,oct_tol_cents,octave_correct,corr,coverage,n_scored
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-3_R2.WAV,4,crepe,146.484375,2333.4494203641743,182.47191993148033,0.0,,0.06896551724137931,2
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R2.WAV,0,crepe,139.6484375,40.64155318913444,40.64155318913444,1.0,0.8978042370196895,0.6666666666666666,20
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R2.WAV,2,crepe,139.6484375,1647.6946371067106,79.51064327412608,0.0,-0.3157870720511337,0.8333333333333334,25
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R2.WAV,4,crepe,139.6484375,1976.2520566489306,74.29705578354313,0.0,-0.029860197144003817,0.2,6
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R2.WAV,6,crepe,139.6484375,2375.3621275120454,24.63787248795466,0.0,,0.03333333333333333,1
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R3.WAV,0,crepe,138.671875,40.63162749133805,40.63162749133805,1.0,0.9664404024315382,0.6551724137931034,19
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R3.WAV,2,crepe,138.671875,1777.8288753232446,153.05430964181105,0.0,-0.31603690310526306,0.7586206896551724,22
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R3.WAV,4,crepe,138.671875,2274.7551174102673,109.99772743874718,0.0,-0.13799352340487742,0.1724137931034483,5
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-4_R3.WAV,6,crepe,138.671875,2054.098230270859,139.08226533026948,0.0,0.5596095661760184,0.20689655172413793,6
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-5_R2.WAV,0,crepe,146.484375,30.609668835150032,30.609668835150032,1.0,0.9394964185059744,0.6666666666666666,22
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-5_R2.WAV,2,crepe,146.484375,1425.471526257071,51.74033058611097,0.0,-0.2177438437929007,0.8181818181818182,27
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-5_R2.WAV,4,crepe,146.484375,45.58894724814438,45.58894724814438,1.0,0.8349609426937361,0.15151515151515152,5
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-5_R2.WAV,6,crepe,146.484375,1879.4437408737085,105.71817861702091,0.0,0.9783340105119066,0.15151515151515152,5
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R1.WAV,0,crepe,146.484375,51.89133326513641,51.89133326513641,1.0,0.9623140034986736,0.6666666666666666,24
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R1.WAV,2,crepe,146.484375,1446.9567876382807,128.58579503182403,0.0,0.10484830516365669,0.8888888888888888,32
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R1.WAV,4,crepe,146.484375,1821.121800074059,80.83320079132848,0.0,0.5706932286390803,0.08333333333333333,3
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-6_R1.WAV,6,crepe,146.484375,1864.7676888852354,37.187311980151996,0.0,,0.027777777777777776,1
lions,lions/Biologger Roars Expanded (500ms)/JMO-3-7_R2.WAV,0,crepe,147.4609375,51.40492735517381,51.40492735517381,1.0,0.9460215394459023,0.6842105263157895,26
