species,clip,k,arm,f0_annotated,strict_cents,oct_tol_cents,octave_correct,corr,coverage,n_scored
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R1.WAV,4,comb_noexempt,173.828125,1398.0614559883934,110.88930864175123,0.0,0.40927279507344877,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R1.WAV,4,pyin,173.828125,1293.2538487703205,106.13258119301581,0.0,0.187911505291308,0.2682926829268293,11
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R1.WAV,6,comb,173.828125,723.4958749812536,476.50412501874644,0.0,0.23863033266413888,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R1.WAV,6,comb_noexempt,173.828125,1915.5477992738108,134.55945556359598,0.0,0.8450680906709845,0.975609756097561,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R1.WAV,6,pyin,173.828125,2487.163731336397,139.69435103905926,0.0,0.16935028815264433,0.24390243902439024,10
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,0,comb,150.390625,316.9804309569205,230.69488362170037,1.0,0.6523013039739441,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,0,comb_noexempt,150.390625,2090.040235587085,160.1058905105375,0.0,0.7761361617325224,0.975609756097561,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,0,pyin,150.390625,81.42198872902739,77.01183180804368,1.0,0.8332676296903077,0.8048780487804879,33
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,2,comb,150.390625,319.7403792884657,223.61781650944718,1.0,-0.242511726247146,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,2,comb_noexempt,150.390625,1862.2705014973224,163.4345257907371,0.0,-0.5937599246117816,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,2,pyin,150.390625,2009.8316509862238,146.96809388033094,0.0,0.12221644246007117,0.8536585365853658,35
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,4,comb,150.390625,342.17779901892465,254.60111131543871,1.0,-0.5287008661393393,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,4,comb_noexempt,150.390625,1564.213272509634,211.2980247131175,0.0,0.46879974454167495,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,4,pyin,150.390625,1564.980277106646,283.2516482231701,0.0,0.8239285459045442,0.3170731707317073,13
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,6,comb,150.390625,218.5567315848041,157.99517415005369,1.0,-0.27757937458620097,1.0,41
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,6,comb_noexempt,150.390625,2104.699864968431,171.4123034140379,0.0,0.4815609220162124,0.975609756097561,40
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-2_R3.WAV,6,pyin,150.390625,2097.124384989443,195.1693841240559,0.0,0.793056966168508,0.17073170731707318,7
lions,lions/Biologger Roars Expanded (500ms)/JMO-2-3_R2.WAV,0,comb,150.390625,165.5645442832855,75.36411857914874,1.0,0.0754606803515759,1.0,40
